"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04971","Gastric acid secretion - Mus musculus (house mouse)","48/4686","75/9787",0.00348953690846219,0.00826341726240004,0.00352014688134344,"11931/16513/16526/18795/18798/14683/11928/14679/108058/18749/208890/20544/20535/11461/16438/16439/18752/12315/11944/16535/18747/213435/11513/14678/12323/11932/18750/16517/16518/11465/104111/72258/12313/12671/238564/15466/12325/104110/11514/11512/11515/107589/224129/22350/16440/12314/12322/14682",48
"mmu00520","Amino sugar and nucleotide sugar metabolism - Mus musculus (house mouse)","35/4686","52/9787",0.00360087123799754,0.00846825580798041,0.00360740639450933,"67883/69080/72017/107652/69976/75540/50798/94181/72157/74246/22235/67980/15277/14583/12764/14751/320635/234730/110119/109785/331026/15275/216019/103988/14584/14635/12763/218138/212032/15212/22122/29858/109754/54128/245847",35
"mmu00130","Ubiquinone and other terpenoid-quinone biosynthesis - Mus musculus (house mouse)","10/4686","11/9787",0.00391702349398943,0.00908642864932241,0.00387074287268558,"230027/71883/52064/69568/56316/12850/27973/18104/234724/217707",10
"mmu00920","Sulfur metabolism - Mus musculus (house mouse)","10/4686","11/9787",0.00391702349398943,0.00908642864932241,0.00387074287268558,"23827/59010/20342/20341/23971/66071/211389/22117/246221/23972",10
"mmu00500","Starch and sucrose metabolism - Mus musculus (house mouse)","25/4686","35/9787",0.00404659696795783,0.00932357814914608,0.0039717665830596,"14378/110078/27357/11722/77559/72157/232714/15277/232493/14751/14936/70974/58866/18605/209558/15275/216019/103988/14377/68401/14387/110095/212032/74185/19309",25
"mmu04724","Glutamatergic synapse - Mus musculus (house mouse)","70/4686","116/9787",0.00448457824815736,0.0102633636417561,0.00437210737015695,"14660/14645/16519/20511/329502/241638/18795/18798/14683/18805/14696/14679/19055/18749/14700/26562/320129/14699/66066/14823/14701/16438/108073/12288/14695/16439/18752/243961/72961/14814/26557/210274/26558/18747/12286/11513/14681/14697/22063/14678/76257/14816/170483/216227/216456/19058/13385/18750/14813/104111/14706/26556/14702/19056/12289/104110/19057/20512/11514/58234/105727/67760/11512/11515/224129/16440/224997/110355/14682/20510",70
"mmu05214","Glioma - Mus musculus (house mouse)","47/4686","74/9787",0.00475990883705184,0.0108208594228978,0.0046095959264081,"23797/271849/13555/18706/20416/108058/13645/18710/56717/12571/18595/18590/21802/52163/18752/12315/12028/16001/15461/12443/234779/26395/216148/17873/26396/16000/17246/12567/12323/13649/22059/18750/20663/12313/11651/13557/20418/18708/12325/19645/18591/12575/12314/12322/18596/19211/11836",47
"mmu05226","Gastric cancer - Mus musculus (house mouse)","88/4686","150/9787",0.00487950734113395,0.0110192847902429,0.00469412347909714,"14369/12043/20183/23797/21808/20181/271849/13555/18706/20416/13645/21812/18710/22417/56717/14362/18671/18669/15234/14371/17295/22413/22419/14177/16974/12576/21803/12447/12028/56636/27412/14366/22411/14183/15461/12443/14388/12550/17127/26395/17350/21813/12387/216033/216148/67112/23805/17873/26396/12566/13649/14172/21414/216795/22059/13866/16480/57265/12006/20663/21809/11651/13557/20418/21752/18708/14165/218772/22418/14180/14365/19645/14368/22410/13544/56637/12005/12575/11789/12385/93687/17128/16973/58988/14296/21416/11836/80903",88
"mmu00250","Alanine, aspartate and glutamate metabolism - Mus musculus (house mouse)","27/4686","39/9787",0.00568763256668732,0.0127597546397393,0.00543554912882861,"14660/227231/11611/14645/11566/11898/194237/69719/269642/231327/109900/27053/14583/108682/70503/216456/14584/11484/11565/14661/268782/76282/11564/268860/52633/66514/14718",27
"mmu00830","Retinol metabolism - Mus musculus (house mouse)","62/4686","102/9787",0.00576057833344301,0.0128389360242096,0.00546927973866623,"98711/11761/71724/11522/26876/11532/277753/13118/13119/13117/666168/100040843/20148/100727/71773/243085/231396/22238/112417/72094/100559/13113/13112/56388/100041449/67442/232174/108841/13088/13094/13086/13087/13085/56847/63857/13077/19378/19683/216454/54150/27400/19682/17252/28200/13350/11668/26358/13082/72082/13095/13097/13098/545288/433247/13099/100043108/13096/404195/107141/226105/226143/245532",62
