"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu00480","Glutathione metabolism - Mus musculus (house mouse)","45/4354","73/9787",0.00229194857295377,0.00528077340119754,0.00224956545567298,"14859/15926/11758/66447/69065/14854/14866/68312/14867/14864/14862/14865/14630/67305/66073/20810/110208/66988/76263/100504710/68396/93673/66116/56615/16790/269951/14782/14629/14858/14775/23887/14871/14872/625249/14778/71522/18263/20135/75512/382985/75475/14870/14869/225884/20603",45
"mmu05231","Choline metabolism in cancer - Mus musculus (house mouse)","58/4354","98/9787",0.00232055186636233,0.0053107931975138,0.00226235363870012,"227333/23797/19730/64930/104418/329502/74182/18805/18706/54635/213603/13645/100434/16476/67916/18710/242687/56717/19744/18595/26414/110524/18590/18752/15461/71785/68682/26395/83767/50784/26396/212862/13139/13649/26420/20520/30805/56077/18750/20663/14281/11651/18708/19012/26419/380921/19354/18591/20683/13026/20519/20517/18607/22084/18596/12660/58988/18719",58
"mmu05166","Human T-cell leukemia virus 1 infection - Mus musculus (house mouse)","132/4354","247/9787",0.00260352011260288,0.00591866905598389,0.00252130368799437,"16177/12912/23797/21808/16169/99152/26427/12048/13555/21939/18019/18706/110196/74343/19055/18749/21894/12913/21812/66440/16476/12580/18710/17701/52206/26414/59008/19384/17120/100683/208647/231991/12504/17000/21937/12444/19428/21803/22695/12447/12028/75430/16408/15461/12443/22335/16150/11739/382056/16168/18747/12317/11513/18021/234729/18186/15894/23871/17127/26395/70549/245000/21813/21423/208677/26396/18045/12567/12566/19058/103573/30939/26420/12330/22333/22059/20850/26406/66156/104111/18035/14281/21809/11651/13557/21752/18708/19056/22334/26419/104110/73181/19057/19645/11514/16185/11911/328572/12257/11512/11515/19385/13383/224129/23872/21374/12575/14972/14998/14999/12915/14964/15006/15015/110557/15018/15007/15039/20807/18519/52563/13653/17128/18018/19697/19211/12675/13712/11740/11798/16151/16186",132
"mmu04750","Inflammatory mediator regulation of TRP channels - Mus musculus (house mouse)","74/4354","130/9787",0.00277046322173928,0.00625647654710659,0.00266520686371573,"16177/18761/329502/18795/18798/14683/18706/58170/108058/18749/13110/74519/13109/277753/13118/13119/13117/666168/100040843/18710/19046/26414/63873/19047/16438/16439/18752/12315/18048/18442/18747/11513/234779/16000/12323/26420/26397/22368/11684/18750/104111/18755/12313/18708/12325/26419/104110/11514/53357/29857/19094/11512/11419/11515/385643/16644/16180/224129/16440/26416/18754/12314/12322/14682/13095/13097/545288/433247/13099/13096/404195/107141/226105/226143",74
"mmu04512","ECM-receptor interaction - Mus musculus (house mouse)","53/4354","89/9787",0.00291914555908356,0.00654887260294404,0.0027897651464926,"14268/12829/12835/16782/226519/16780/23928/16420/16403/21825/20971/16776/242022/64051/15530/11603/12491/19699/231470/20750/12843/22371/12826/12827/12845/16412/319480/245026/13138/16779/104099/16773/16775/12834/12833/16404/14723/22370/12842/16399/192897/20969/16777/320910/21828/109700/16421/16423/21826/81877/16772/16774/12830",53
"mmu05223","Non-small cell lung cancer - Mus musculus (house mouse)","44/4354","72/9787",0.00324210857355578,0.00722587597112759,0.00307816293877329,"20183/23797/20181/16574/13555/58231/18706/13645/18710/12371/12571/15234/17295/21802/19713/18752/12028/15461/12443/234779/26395/56484/17873/26396/12567/13649/22059/13866/20850/20848/18750/20663/11651/13557/18708/218772/14198/19645/18607/12575/78798/16573/12015/11836",44
"mmu05214","Glioma - Mus musculus (house mouse)","45/4354","74/9787",0.00335315721241977,0.0074248481132152,0.00316292341294551,"23797/13555/18706/20416/108058/13645/18710/56717/12571/18595/18590/21802/52163/18752/12315/12028/16001/15461/12443/234779/26395/216148/17873/26396/16000/17246/12567/12323/13649/22059/18750/20663/12313/11651/13557/18708/12325/19645/18591/12575/12314/12322/18596/19211/11836",45
"mmu00280","Valine, leucine and isoleucine degradation - Mus musculus (house mouse)","36/4354","57/9787",0.00341317803393454,0.00750899167465598,0.00319876786881471,"11761/71724/56752/72039/15360/13171/15107/11364/72535/15356/97212/231086/11669/78894/58875/12036/257633/66948/12040/66904/235674/113868/11671/13382/11992/78038/208715/67041/268782/268860/74147/224530/110460/17850/110695/15108",36
"mmu00250","Alanine, aspartate and glutamate metabolism - Mus musculus (house mouse)","26/4354","39/9787",0.00427431310140332,0.00934321004858034,0.00398012960859419,"14660/227231/11611/14645/11566/11898/69719/269642/231327/109900/27053/14583/108682/70503/216456/14584/11484/11565/14661/268782/76282/11564/268860/52633/66514/14718",26
"mmu04728","Dopaminergic synapse - Mus musculus (house mouse)","76/4354","136/9787",0.0047024117597655,0.0102135185355416,0.00435087377034958,"12912/23797/226849/16574/16519/26427/18795/18798/14683/14696/14679/108058/19055/18749/12913/14700/19046/269643/26414/19047/66066/208647/231991/14701/16438/12288/14695/16439/18752/12315/109689/11865/110877/18747/12286/14681/16521/73699/14697/235542/14678/19054/208677/12323/13195/26420/216869/18750/26932/14281/12313/26931/11651/14702/19056/12325/12289/26419/71978/19057/11911/29857/19094/12846/224129/56637/51792/16440/26416/12915/12314/16573/12322/225849/14682/109731",76
