"","Genename","Heart_ZT0_1","Heart_ZT0_2","Heart_ZT12_1","Heart_ZT12_2","Liver_ZT0_1","Liver_ZT0_2","Liver_ZT12_1","Liver_ZT12_2"
"ENSMUSG00000057895.12","Zfp105",42,30,57,14,9,14,9,12
"ENSMUSG00000032551.8","1110059G10Rik",214,157,231,92,154,249,154,145
"ENSMUSG00000036768.7","Kif15",17,14,16,10,5,3,8,1
"ENSMUSG00000025787.7","Tgm4",32,20,26,13,4,8,4,1
"ENSMUSG00000025786.18","Zdhhc3",1688,1430,1601,670,418,660,361,326
"ENSMUSG00000025785.6","Exosc7",463,335,441,141,502,498,278,263
"ENSMUSG00000025784.6","Clec3b",1240,860,1057,359,1,4,2,1
"ENSMUSG00000035498.11","Cdcp1",7,7,23,1,94,94,57,32
"ENSMUSG00000054871.6","Tmem158",40,11,25,6,3,3,1,1
"ENSMUSG00000035202.9","Lars2",8829,10487,9059,5014,27098,49837,19803,12448
"ENSMUSG00000025239.4","Limd1",2720,2475,2671,937,534,1044,592,474
"ENSMUSG00000025240.11","Sacm1l",962,831,790,286,426,995,492,324
"ENSMUSG00000025243.18","Slc6a20b",0,5,1,0,2,0,1,2
"ENSMUSG00000036814.14","Slc6a20a",0,0,0,0,0,0,9,0
"ENSMUSG00000029530.17","Ccr9",3,1,6,6,4,3,0,1
"ENSMUSG00000025241.17","Fyco1",12748,11386,16274,6555,352,720,494,286
"ENSMUSG00000060509.6","Xcr1",2,1,3,0,6,8,7,0
"ENSMUSG00000025804.6","Ccr1",45,97,54,12,5,21,8,0
"ENSMUSG00000035448.10","Ccr3",1,2,3,1,3,1,1,5
"ENSMUSG00000049103.15","Ccr2",62,122,130,53,17,51,51,16
"ENSMUSG00000079227.11","Ccr5",67,91,275,45,80,140,92,45
"ENSMUSG00000074829.11","2010315B03Rik",264,202,326,140,236,442,287,279
"ENSMUSG00000093803.7","Ppp2r3d",958,647,1116,401,192,215,70,47
"ENSMUSG00000040653.7","Ppp1r14c",3668,2674,3794,1961,0,0,0,0
"ENSMUSG00000019762.5","Iyd",0,0,1,0,1208,1983,1253,1143
"ENSMUSG00000040624.19","Plekhg1",611,562,538,174,57,92,67,41
"ENSMUSG00000040675.18","Mthfd1l",27,25,79,49,11,12,30,27
"ENSMUSG00000038587.11","Akap12",1709,1178,1388,495,44,86,43,26
"ENSMUSG00000075327.11","Zbtb2",204,149,201,73,90,156,73,75
"ENSMUSG00000019763.12","Rmnd1",1097,813,949,336,392,579,293,371
"ENSMUSG00000061759.16","Armt1",350,289,329,121,297,422,195,164
"ENSMUSG00000019767.13","Ccdc170",22,14,20,10,0,1,2,0
"ENSMUSG00000019768.17","Esr1",31,13,37,18,494,956,292,247
"ENSMUSG00000096054.4","Syne1",5003,4337,4610,1628,397,673,256,133
"ENSMUSG00000046916.10","Myct1",674,580,713,243,57,88,53,42
"ENSMUSG00000019773.8","Fbxo5",25,17,36,15,16,13,20,4
"ENSMUSG00000019774.9","Mtrf1l",370,310,324,109,99,152,47,45
"ENSMUSG00000019775.18","Rgs17",61,27,54,15,3,4,1,1
"ENSMUSG00000000766.19","Oprm1",0,0,2,0,1,3,0,0
"ENSMUSG00000015202.14","Cnksr3",1053,895,974,302,130,215,74,70
"ENSMUSG00000079685.11","Ulbp1",115,78,152,47,4,6,6,5
"ENSMUSG00000019796.13","Lrp11",220,170,218,47,72,95,38,38
"ENSMUSG00000019795.18","Pcmt1",2492,1947,2424,838,595,894,459,419
"ENSMUSG00000040021.15","Lats1",767,514,687,280,473,1093,480,253
"ENSMUSG00000019794.14","Katna1",226,187,168,63,164,250,108,99
"ENSMUSG00000040006.14","Ginm1",1840,1574,1988,686,655,1041,680,443
"ENSMUSG00000015757.11","Ppil4",663,531,626,207,276,511,187,176
"ENSMUSG00000039981.7","Zc3h12d",17,23,29,3,92,87,66,48
"ENSMUSG00000015755.17","Tab2",2639,2069,2409,940,1599,2872,740,456
"ENSMUSG00000047712.9","Ust",99,76,99,41,10,22,17,5
"ENSMUSG00000015305.7","Sash1",1572,1328,1644,523,544,1117,457,282
"ENSMUSG00000060487.8","Samd5",87,95,173,72,21,17,24,4
"ENSMUSG00000019790.18","Stxbp5",762,620,694,274,306,427,189,146
"ENSMUSG00000050994.22","Adgb",7,6,2,3,29,38,14,18
"ENSMUSG00000019832.6","Rab32",58,57,67,18,726,1136,371,264
"ENSMUSG00000019828.14","Grm1",1436,1283,1864,632,1,2,0,0
"ENSMUSG00000090112.9","Shprh",537,375,584,224,205,369,224,190
"ENSMUSG00000047648.14","Fbxo30",1143,890,862,264,189,436,132,80
"ENSMUSG00000055493.5","Epm2a",907,743,1398,499,55,103,118,75
"ENSMUSG00000019820.12","Utrn",3603,3132,3983,1355,437,923,490,339
"ENSMUSG00000039232.13","Stx11",114,146,113,20,11,26,14,0
"ENSMUSG00000078348.5","Sf3b5",595,501,536,212,265,309,174,119
"ENSMUSG00000019817.19","Plagl1",130,82,130,45,16,31,20,14
"ENSMUSG00000019815.8","Zc2hc1b",5,1,0,0,1,4,0,0
"ENSMUSG00000019814.6","Ltv1",602,496,451,165,343,509,187,154
"ENSMUSG00000062866.17","Phactr2",2622,2139,2589,911,89,122,82,50
"ENSMUSG00000019810.16","Fuca2",9535,7419,6500,1875,148,147,128,93
"ENSMUSG00000019809.17","Pex3",494,368,555,173,332,541,444,394
"ENSMUSG00000019808.9","Adat2",72,56,76,23,26,56,36,8
"ENSMUSG00000019806.14","Aig1",1172,881,972,340,219,344,219,138
