"","Genename","Heart_ZT0_1","Heart_ZT0_2","Heart_ZT12_1","Heart_ZT12_2","Liver_ZT0_1","Liver_ZT0_2","Liver_ZT12_1","Liver_ZT12_2"
"ENSMUSG00000051951.6","Xkr4",16,9,14,3,1,0,1,0
"ENSMUSG00000025900.14","Rp1",61,28,34,24,0,0,0,0
"ENSMUSG00000025902.14","Sox17",274,227,369,114,16,19,2,6
"ENSMUSG00000033845.14","Mrpl15",1622,1377,1393,534,1063,1408,820,719
"ENSMUSG00000104217.2","Gm37988",5,3,5,0,9,22,4,7
"ENSMUSG00000033813.16","Tcea1",486,475,506,210,443,914,464,331
"ENSMUSG00000002459.18","Rgs20",3,1,0,0,0,0,0,1
"ENSMUSG00000033793.13","Atp6v1h",724,612,657,230,971,1334,750,692
"ENSMUSG00000025907.15","Rb1cc1",2378,1836,2816,1007,550,1284,722,536
"ENSMUSG00000033740.18","St18",2,1,0,0,0,1,1,0
"ENSMUSG00000051285.18","Pcmtd1",2468,1966,2676,985,1282,2344,1598,1215
"ENSMUSG00000025909.17","Sntg1",25,32,62,18,38,93,54,37
"ENSMUSG00000061024.9","Rrs1",655,497,648,215,303,562,204,126
"ENSMUSG00000025911.15","Adhfe1",1268,977,1240,499,803,1695,1027,771
"ENSMUSG00000025912.17","Mybl1",29,23,29,7,7,15,5,2
"ENSMUSG00000045210.9","Vcpip1",782,581,692,268,521,1213,475,347
"ENSMUSG00000025915.15","Sgk3",32,31,34,10,7,15,9,7
"ENSMUSG00000099032.3","Tcf24",19,15,24,9,2,8,1,2
"ENSMUSG00000025916.11","Ppp1r42",4,2,2,0,0,0,0,0
"ENSMUSG00000025917.10","Cops5",1753,1316,1699,663,1005,1494,959,791
"ENSMUSG00000056763.17","Cspp1",171,151,194,75,231,382,153,142
"ENSMUSG00000067851.12","Arfgef1",5490,4472,4945,1812,1267,2460,1389,908
"ENSMUSG00000048960.14","Prex2",1207,979,1663,584,57,108,128,113
"ENSMUSG00000057715.14","A830018L16Rik",9,2,3,0,0,2,1,1
"ENSMUSG00000016918.16","Sulf1",966,864,849,299,11,31,20,29
"ENSMUSG00000025938.17","Slco5a1",918,713,1004,344,0,0,0,0
"ENSMUSG00000005886.15","Ncoa2",2293,1948,2449,904,685,1458,624,410
"ENSMUSG00000025935.11","Tram1",1035,837,946,360,3313,5225,1905,1166
"ENSMUSG00000025937.7","Lactb2",549,477,786,328,3435,6522,3483,2781
"ENSMUSG00000067813.4","Xkr9",0,0,0,0,273,405,298,165
"ENSMUSG00000025932.15","Eya1",38,46,53,17,1,0,0,0
"ENSMUSG00000032769.6","Trpa1",1,2,4,3,0,0,0,0
"ENSMUSG00000092083.5","Kcnb2",1,1,1,0,55,33,14,23
"ENSMUSG00000025925.15","Terf1",129,88,129,63,174,217,116,105
"ENSMUSG00000032719.5","Sbspon",3,1,4,4,10,3,1,3
"ENSMUSG00000043716.14","Rpl7",6379,5138,6447,2324,5766,8033,4739,4285
"ENSMUSG00000025921.8","Rdh10",276,195,282,69,496,601,280,213
"ENSMUSG00000025920.20","Stau2",1352,1129,1183,424,81,166,76,56
"ENSMUSG00000025939.20","Ube2w",622,449,551,170,372,591,301,268
"ENSMUSG00000079658.10","Eloc",1259,985,1102,446,689,941,507,437
"ENSMUSG00000025940.7","Tmem70",2644,1954,2601,940,676,974,515,465
"ENSMUSG00000025779.11","Ly96",40,54,43,22,78,128,39,29
"ENSMUSG00000042686.6","Jph1",242,164,250,104,1,0,3,3
"ENSMUSG00000025777.9","Gdap1",1,1,3,0,0,0,0,0
"ENSMUSG00000067780.4","Pi15",18,10,6,2,1,0,1,0
"ENSMUSG00000025776.14","Crispld1",12,7,18,4,0,0,0,0
"ENSMUSG00000042596.8","Tfap2d",2,1,1,1,0,1,0,0
"ENSMUSG00000043760.17","Pkhd1",1,1,0,0,150,229,97,53
"ENSMUSG00000041859.11","Mcm3",156,134,158,61,95,101,54,48
"ENSMUSG00000025931.16","Paqr8",63,44,90,28,7,10,8,5
"ENSMUSG00000041809.6","Efhc1",23,24,42,9,6,3,1,7
"ENSMUSG00000041779.6","Tram2",273,242,243,85,263,276,218,142
"ENSMUSG00000025933.16","Tmem14a",58,39,97,43,94,117,36,64
"ENSMUSG00000025934.16","Gsta3",36,36,13,13,2727,4943,1655,2141
"ENSMUSG00000028033.17","Kcnq5",10,10,18,7,5,4,2,0
"ENSMUSG00000041670.20","Rims1",2,2,3,2,2,1,2,0
"ENSMUSG00000026158.12","Ogfrl1",832,650,869,307,209,247,241,181
"ENSMUSG00000026156.9","B3gat2",13,18,14,12,5,7,5,4
"ENSMUSG00000026155.14","Smap1",177,169,189,73,149,252,146,114
"ENSMUSG00000026154.5","Sdhaf4",648,486,617,204,185,281,128,200
"ENSMUSG00000026153.16","Fam135a",808,644,1074,405,324,660,320,218
"ENSMUSG00000026141.14","Col19a1",0,0,6,2,0,0,3,0
"ENSMUSG00000073725.9","Lmbrd1",1470,1258,1654,586,913,1710,1174,757
"ENSMUSG00000033569.18","Adgrb3",0,3,2,0,2,1,0,0
"ENSMUSG00000048874.16","Phf3",1442,1089,1548,587,812,1706,605,430
"ENSMUSG00000117310.3","Ptp4a1",7,6,35,1,0,0,0,0
"ENSMUSG00000086727.10","4931428L18Rik",14,7,12,6,14,26,51,60
"ENSMUSG00000026134.12","Prim2",87,77,82,41,55,73,39,29
"ENSMUSG00000004768.15","Rab23",312,240,247,81,152,136,86,113
"ENSMUSG00000042215.9","Bag2",1401,1112,1171,445,23,32,10,17
"ENSMUSG00000042197.14","Zfp451",548,443,520,215,200,360,139,115
"ENSMUSG00000042182.17","Bend6",29,25,30,10,4,12,7,0
"ENSMUSG00000026131.22","Dst",27010,23716,25866,8392,993,2121,1197,925
"ENSMUSG00000042111.10","Ccdc115",503,376,434,136,184,273,122,94
"ENSMUSG00000026127.14","Imp4",427,332,325,117,300,358,119,95
"ENSMUSG00000026126.16","Ptpn18",48,38,87,17,9,13,15,9
"ENSMUSG00000037509.22","Arhgef4",62,52,27,9,4,1,2,1
"ENSMUSG00000037503.13","Fam168b",2403,2041,2116,756,1187,2060,863,599
"ENSMUSG00000026123.12","Plekhb2",4611,3648,3879,1434,341,479,255,163
"ENSMUSG00000045216.8","Hs6st1",880,777,731,266,1174,2053,1115,737
"ENSMUSG00000037470.15","Uggt1",2060,1681,1780,660,2176,3500,1118,599
"ENSMUSG00000047180.9","Neurl3",202,193,175,59,101,114,103,72
"ENSMUSG00000037447.17","Arid5a",360,345,163,74,35,231,27,21
"ENSMUSG00000010453.13","Kansl3",2381,1901,2490,962,903,1241,818,650
"ENSMUSG00000037432.16","Fer1l5",87,80,94,26,134,87,17,8
"ENSMUSG00000001143.14","Lman2l",1105,857,821,274,526,701,222,110
"ENSMUSG00000037408.11","Cnnm4",240,169,141,59,104,132,38,28
"ENSMUSG00000001138.14","Cnnm3",426,331,618,215,381,398,184,111
"ENSMUSG00000109510.2","Gm42417",6,3,13,1,5,1,1,0
"ENSMUSG00000079610.10","Ankrd39",94,56,74,25,25,32,12,14
"ENSMUSG00000026121.14","Sema4c",701,491,462,136,63,75,47,23
"ENSMUSG00000046337.19","Fam178b",9,3,11,1,1,1,2,0
"ENSMUSG00000061518.12","Cox5b",12990,10049,11567,4555,2209,2763,1073,1066
"ENSMUSG00000037351.10","Actr1b",3721,2973,3167,1167,1348,2070,1097,734
"ENSMUSG00000102416.5","4933424G06Rik",1,2,0,0,1,4,0,1
"ENSMUSG00000026117.11","Zap70",2,9,6,1,144,252,170,184
"ENSMUSG00000026116.12","Tmem131",2294,1900,1725,671,471,964,495,297
"ENSMUSG00000050122.21","Vwa3b",2,1,5,1,36,117,75,25
"ENSMUSG00000026114.15","Cnga3",285,212,161,50,0,0,0,0
"ENSMUSG00000026113.18","Inpp4a",1236,980,888,300,466,721,262,159
"ENSMUSG00000026112.8","Coa5",8459,7050,7157,2634,1596,2616,1393,1016
"ENSMUSG00000026111.16","Unc50",611,458,562,216,441,614,343,284
"ENSMUSG00000026110.16","Mgat4a",559,448,625,217,34,36,25,20
"ENSMUSG00000026090.17","Cracdl",56,34,41,18,2,2,2,4
"ENSMUSG00000060771.16","Tsga10",145,100,177,46,27,54,14,21
"ENSMUSG00000037216.6","Lipt1",32,15,28,8,19,6,10,4
"ENSMUSG00000026088.16","Mitd1",90,64,83,39,221,355,109,101
"ENSMUSG00000026087.12","Mrpl30",3130,2605,2996,1107,1057,1370,674,738
"ENSMUSG00000058407.13","Txndc9",1260,989,966,426,861,1129,525,452
"ENSMUSG00000026083.13","Eif5b",3259,2943,3985,1409,1560,1991,707,649
"ENSMUSG00000026082.12","Rev1",496,396,434,169,82,150,120,89
"ENSMUSG00000037138.19","Aff3",107,51,181,54,6,8,11,7
"ENSMUSG00000048814.12","Lonrf2",409,305,295,123,0,0,0,0
"ENSMUSG00000026080.15","Chst10",15,11,9,6,0,0,1,0
"ENSMUSG00000026078.11","Pdcl3",1107,881,1052,374,364,541,196,171
"ENSMUSG00000026077.16","Npas2",190,197,44,17,314,560,5,0
"ENSMUSG00000073702.12","Rpl31",4828,3756,4065,1410,3147,4225,2278,2091
"ENSMUSG00000003134.11","Tbc1d8",256,195,300,81,191,425,175,131
"ENSMUSG00000003135.16","Cnot11",543,483,563,209,416,556,236,161
"ENSMUSG00000048234.14","Rnf149",214,192,225,63,1015,1522,955,679
"ENSMUSG00000050967.6","Creg2",1,1,3,0,0,0,0,0
"ENSMUSG00000057173.9","Rfx8",6,2,8,5,0,1,1,0
"ENSMUSG00000026074.16","Map4k4",4545,3862,4536,1606,134,247,90,60
"ENSMUSG00000026073.14","Il1r2",13,25,8,4,0,10,3,1
"ENSMUSG00000026072.13","Il1r1",474,469,507,147,1787,6121,1275,522
"ENSMUSG00000070942.9","Il1rl2",67,65,145,48,6,11,7,0
"ENSMUSG00000026069.16","Il1rl1",26,18,39,18,0,0,2,2
"ENSMUSG00000026070.17","Il18r1",54,53,31,13,4,12,1,2
"ENSMUSG00000026068.12","Il18rap",17,20,16,2,3,12,1,5
"ENSMUSG00000026065.9","Slc9a4",3,7,9,5,0,0,1,1
"ENSMUSG00000026062.13","Slc9a2",196,124,248,85,0,2,5,0
"ENSMUSG00000041945.13","Mfsd9",5,0,1,3,0,2,1,0
"ENSMUSG00000079588.4","Tmem182",5670,4946,6079,2358,0,0,0,0
"ENSMUSG00000060679.15","Mrps9",2322,1800,2144,775,326,453,377,263
"ENSMUSG00000070939.10","Tgfbrap1",1061,805,937,338,631,1083,591,394
"ENSMUSG00000010290.8","AI597479",1234,953,998,380,201,409,137,113
"ENSMUSG00000008136.15","Fhl2",65269,50001,42204,17497,6,6,3,3
"ENSMUSG00000066877.12","Nck2",508,398,458,151,44,63,35,18
"ENSMUSG00000026051.9","Ecrg4",47,25,15,12,2,2,0,0
"ENSMUSG00000057363.13","Uxs1",283,240,285,101,263,378,139,89
"ENSMUSG00000041763.15","Tpp2",1732,1506,1955,651,630,1154,508,330
"ENSMUSG00000047343.5","Mettl21c",1,0,6,5,4,1,2,1
"ENSMUSG00000091844.3","Ccdc168",4,3,0,0,5,10,1,0
"ENSMUSG00000026049.12","Tex30",64,45,66,15,41,80,48,35
"ENSMUSG00000026047.14","Poglut2",431,317,328,114,101,163,83,47
"ENSMUSG00000041684.12","Bivm",344,239,369,138,195,286,265,155
"ENSMUSG00000026048.17","Ercc5",598,470,610,268,276,358,278,178
"ENSMUSG00000056870.10","Gulp1",147,115,232,52,8,31,23,11
"ENSMUSG00000026043.19","Col3a1",6209,4695,7309,1791,762,1081,1070,261
"ENSMUSG00000026042.17","Col5a2",1435,1112,1154,364,59,125,70,26
"ENSMUSG00000025995.17","Wdr75",485,438,452,132,269,407,128,85
"ENSMUSG00000025993.11","Slc40a1",781,695,1604,441,1309,2212,2692,1772
"ENSMUSG00000041144.13","Dnah7b",53,34,81,16,18,29,13,5
"ENSMUSG00000101337.7","Dnah7c",14,3,6,3,4,5,2,1
"ENSMUSG00000025986.7","Slc39a10",700,502,480,173,125,265,49,50
"ENSMUSG00000026109.15","Tmeff2",28,14,18,10,5,7,1,5
"ENSMUSG00000026107.12","Nabp1",1900,1485,2764,798,146,257,179,137
"ENSMUSG00000018417.15","Myo1b",836,608,1072,357,3741,7186,1951,1744
"ENSMUSG00000062939.12","Stat4",3,2,4,2,0,2,0,0
"ENSMUSG00000026104.15","Stat1",381,374,452,170,548,721,206,170
"ENSMUSG00000026103.15","Gls",2305,2009,2617,976,62,100,83,47
"ENSMUSG00000002881.15","Nab1",1033,805,1074,341,894,2207,996,759
"ENSMUSG00000043015.16","Nemp2",65,35,85,33,8,6,17,2
"ENSMUSG00000041439.16","Mfsd6",959,820,1046,346,273,484,176,108
"ENSMUSG00000026102.10","Inpp1",478,387,630,195,183,218,203,144
"ENSMUSG00000041426.13","Hibch",2755,2177,2649,1019,1091,1723,1275,1135
"ENSMUSG00000043629.13","1700019D03Rik",27,26,41,18,7,4,4,13
"ENSMUSG00000026100.7","Mstn",7,5,7,7,0,0,0,0
"ENSMUSG00000060715.10","1700019A02Rik",4,6,12,2,7,11,3,3
"ENSMUSG00000026098.14","Pms1",99,53,147,42,79,137,63,42
"ENSMUSG00000100679.3","Gm28778",3,0,2,4,1,2,1,0
"ENSMUSG00000096141.3","Dnah7a",8,4,1,4,13,20,4,2
"ENSMUSG00000026094.15","Stk17b",393,324,360,177,72,144,80,64
"ENSMUSG00000042807.16","Hecw2",756,691,863,266,34,77,33,31
"ENSMUSG00000025983.12","Ccdc150",5,1,15,5,0,1,0,0
"ENSMUSG00000041303.8","Gtf3c3",513,422,499,164,214,409,177,159
"ENSMUSG00000073678.5","Pgap1",210,164,215,78,119,222,270,150
"ENSMUSG00000052331.15","Ankrd44",208,187,382,138,51,71,65,52
"ENSMUSG00000025982.14","Sf3b1",3751,3064,4569,1603,2035,3117,1579,1312
"ENSMUSG00000025981.14","Coq10b",942,726,1216,413,362,676,932,770
"ENSMUSG00000025980.15","Hspd1",16844,12698,13610,4677,11719,16283,6531,5023
"ENSMUSG00000073676.5","Hspe1",3767,2470,2388,741,2496,4052,1480,1430
"ENSMUSG00000025979.14","Mob4",1000,782,896,350,406,725,321,276
"ENSMUSG00000025978.15","Rftn2",160,90,169,46,10,26,16,4
"ENSMUSG00000046994.10","Mars2",711,613,558,212,50,105,39,36
"ENSMUSG00000025977.16","Boll",4,2,9,0,8,7,2,3
"ENSMUSG00000038349.11","Plcl1",191,129,249,76,29,28,11,8
"ENSMUSG00000038331.16","Satb2",20,12,23,9,16,26,9,3
"ENSMUSG00000038323.4","1700066M21Rik",113,56,76,23,532,829,425,311
"ENSMUSG00000048495.17","Tyw5",79,62,93,25,136,171,96,112
"ENSMUSG00000025971.7","Maip1",417,346,473,175,286,384,183,144
"ENSMUSG00000038305.16","Spats2l",208,145,230,81,21,45,9,10
"ENSMUSG00000054770.17","Kctd18",197,174,207,81,74,110,61,51
"ENSMUSG00000026039.10","Sgo2a",85,74,152,37,0,1,0,1
"ENSMUSG00000063558.5","Aox1",1394,1035,1861,663,814,1086,817,545
"ENSMUSG00000064294.13","Aox3",23,24,53,10,9203,11364,13296,6512
"ENSMUSG00000079554.3","Aox2",5,2,5,2,1,2,2,1
"ENSMUSG00000051223.15","Bzw1",2232,2009,2534,934,2363,4430,2247,1700
"ENSMUSG00000026034.18","Clk1",855,727,1220,479,827,968,404,320
"ENSMUSG00000026035.16","Ppil3",183,154,190,76,156,173,107,135
"ENSMUSG00000026036.18","Nif3l1",517,431,427,117,314,449,182,152
"ENSMUSG00000026037.15","Orc2",95,77,95,34,25,35,10,5
"ENSMUSG00000038174.15","Hycc2",643,524,507,199,219,497,547,360
"ENSMUSG00000026032.9","Ndufb3",3716,2724,3167,1315,1175,1505,823,783
"ENSMUSG00000047528.14","Flacc1",4,4,6,1,4,8,6,23
"ENSMUSG00000026031.16","Cflar",1840,1560,1386,590,2064,3046,1167,886
"ENSMUSG00000026029.15","Casp8",233,220,328,76,508,832,472,302
"ENSMUSG00000026028.13","Trak2",12757,11861,9706,3637,389,875,358,282
"ENSMUSG00000026027.14","Stradb",2397,1887,1990,680,661,1043,563,426
"ENSMUSG00000038079.15","Tmem237",81,56,120,27,39,47,35,47
"ENSMUSG00000079550.10","Mpp4",8,6,0,1,76,78,9,10
"ENSMUSG00000026024.15","Als2",523,425,498,154,1185,2144,638,345
"ENSMUSG00000026023.17","Cdk15",6,2,5,1,0,0,1,1
"ENSMUSG00000041075.9","Fzd7",299,275,332,126,270,313,281,222
"ENSMUSG00000047361.17","Gm973",0,0,1,0,1,1,1,1
"ENSMUSG00000026021.16","Sumo1",977,826,961,417,449,786,406,475
"ENSMUSG00000026020.10","Nop58",654,524,535,171,519,847,184,139
"ENSMUSG00000067336.7","Bmpr2",4021,3535,3992,1517,409,928,481,288
"ENSMUSG00000041040.13","Fam117b",284,187,348,125,32,94,42,34
"ENSMUSG00000026018.13","Ica1l",8,7,22,4,1,2,1,0
"ENSMUSG00000026019.16","Wdr12",583,415,483,187,317,372,149,158
"ENSMUSG00000026017.14","Carf",233,191,250,89,53,73,42,44
"ENSMUSG00000073664.12","Nbeal1",2839,2462,3205,1193,343,820,361,252
"ENSMUSG00000049439.14","Cyp20a1",307,233,347,130,219,364,171,109
"ENSMUSG00000026782.16","Abi2",407,335,601,225,62,106,103,71
"ENSMUSG00000026014.16","Raph1",3870,3285,3254,1400,1903,4834,747,514
"ENSMUSG00000026012.3","Cd28",182,173,213,68,5,5,2,6
"ENSMUSG00000026011.14","Ctla4",128,82,162,80,0,0,0,0
"ENSMUSG00000026009.15","Icos",4,1,7,4,14,17,9,7
"ENSMUSG00000052062.15","Pard3b",451,359,601,275,97,153,101,58
"ENSMUSG00000025969.16","Nrp2",1695,1372,2111,647,270,447,254,185
"ENSMUSG00000040865.17","Ino80d",1024,883,1049,379,286,491,215,101
"ENSMUSG00000025968.17","Ndufs1",11898,9822,11816,4424,910,1807,888,704
"ENSMUSG00000025967.17","Eef1b2",4313,3392,3975,1465,3458,4773,2836,2529
"ENSMUSG00000046856.14","Cmklr2",4,1,8,4,0,0,1,0
"ENSMUSG00000027520.17","Zdbf2",23,14,25,6,0,0,1,0
"ENSMUSG00000025964.16","Adam23",90,63,99,56,164,274,122,78
"ENSMUSG00000025962.16","Fastkd2",964,761,847,300,277,456,231,183
"ENSMUSG00000025959.14","Klf7",1171,912,917,307,96,153,63,49
"ENSMUSG00000025958.15","Creb1",915,754,684,271,259,487,206,142
"ENSMUSG00000025956.11","Mettl21a",184,125,185,77,145,187,104,81
"ENSMUSG00000070871.11","Ccnyl1",433,380,433,138,81,161,55,69
"ENSMUSG00000045005.10","Fzd5",254,149,154,71,118,96,85,45
"ENSMUSG00000051344.14","Plekhm3",421,306,401,172,42,54,47,17
"ENSMUSG00000025950.17","Idh1",1550,1082,2536,878,7720,11874,5229,4562
"ENSMUSG00000025949.17","Pikfyve",524,377,481,171,481,729,289,166
"ENSMUSG00000025946.14","Pth2r",3,2,4,0,0,1,3,1
"ENSMUSG00000015222.19","Map2",133,82,149,54,10,19,16,14
"ENSMUSG00000055567.19","Unc80",12,6,2,8,0,0,3,0
"ENSMUSG00000026005.16","Rpe",295,227,293,123,454,939,381,239
"ENSMUSG00000026004.16","Kansl1l",836,618,842,329,142,431,148,123
"ENSMUSG00000026003.6","Acadl",36289,28261,35981,14424,3341,4680,3434,2773
"ENSMUSG00000061816.16","Myl1",1079,883,893,229,0,0,1,0
"ENSMUSG00000026000.17","Lancl1",772,570,777,259,343,532,356,281
"ENSMUSG00000025991.9","Cps1",4,1,3,0,56257,125864,37655,32682
"ENSMUSG00000062209.16","Erbb4",276,234,337,245,81,70,46,99
"ENSMUSG00000025997.14","Ikzf2",23,19,25,6,2,1,2,0
"ENSMUSG00000053153.15","Spag16",1,5,3,0,2,3,0,0
"ENSMUSG00000045648.16","Vwc2l",2,1,1,0,0,1,0,0
"ENSMUSG00000026196.8","Bard1",21,11,27,13,5,5,4,2
"ENSMUSG00000050296.15","Abca12",158,128,213,117,0,0,1,0
"ENSMUSG00000026192.14","Atic",876,750,871,318,634,691,357,295
"ENSMUSG00000026193.16","Fn1",1928,1649,1859,783,32816,58011,23935,13801
"ENSMUSG00000039395.9","Mreg",854,730,1198,480,916,1273,280,196
"ENSMUSG00000026189.14","Pecr",160,136,219,68,2214,3312,1560,1683
"ENSMUSG00000026188.12","Tmem169",1,0,0,0,4,13,4,1
"ENSMUSG00000026187.10","Xrcc5",556,434,599,241,315,551,349,237
"ENSMUSG00000039354.17","Smarcal1",774,648,649,299,262,437,148,119
"ENSMUSG00000046330.11","Rpl37a",3185,2630,2767,1088,3378,3788,1928,1968
"ENSMUSG00000039323.19","Igfbp2",3,3,6,0,8296,6904,5795,2308
"ENSMUSG00000026185.9","Igfbp5",5275,4299,4739,1993,110,197,198,173
"ENSMUSG00000055322.17","Tns1",43562,38246,40683,16749,1622,2497,1580,1157
"ENSMUSG00000061815.12","Rufy4",44,47,62,17,3,9,7,8
"ENSMUSG00000026180.10","Cxcr2",32,113,16,4,9,31,4,5
"ENSMUSG00000048480.6","Cxcr1",0,2,0,1,0,2,1,0
"ENSMUSG00000006304.15","Arpc2",3161,2562,3037,1082,1873,2441,1582,1194
"ENSMUSG00000006299.14","Aamp",2356,1922,2236,793,2749,2952,1736,1474
"ENSMUSG00000026179.15","Pnkd",1912,1597,1872,681,4638,5932,765,483
"ENSMUSG00000073650.10","Catip",13,9,16,7,0,3,0,1
"ENSMUSG00000026177.12","Slc11a1",132,118,139,39,152,246,129,53
"ENSMUSG00000026176.14","Ctdsp1",3064,2420,2986,1123,3058,3880,1830,1181
"ENSMUSG00000026175.13","Vil1",9,2,7,2,7,11,46,3
"ENSMUSG00000033364.14","Usp37",376,303,314,122,129,247,84,55
"ENSMUSG00000026173.17","Plcd4",46,39,28,12,2,1,0,0
"ENSMUSG00000026135.18","Zfp142",601,498,373,140,92,173,37,32
"ENSMUSG00000026172.13","Bcs1l",860,660,767,280,350,492,184,178
"ENSMUSG00000026171.13","Rnf25",390,302,343,129,418,497,214,147
"ENSMUSG00000033276.19","Stk36",13,22,9,1,24,26,7,1
"ENSMUSG00000033257.15","Ttll4",610,542,553,255,424,933,314,166
"ENSMUSG00000026170.7","Cyp27a1",475,347,733,242,8580,10079,4583,4090
"ENSMUSG00000006542.14","Prkag3",169,82,76,25,7,7,2,1
"ENSMUSG00000033227.8","Wnt6",9,6,13,6,2,0,0,0
"ENSMUSG00000055197.5","Fev",1,0,0,0,0,1,3,0
"ENSMUSG00000006538.13","Ihh",13,3,1,4,20,6,36,10
"ENSMUSG00000026162.9","Nhej1",167,118,134,61,188,158,34,25
"ENSMUSG00000026205.9","Slc23a3",13,10,13,4,4,1,2,1
"ENSMUSG00000033159.15","Cnppd1",761,530,813,268,1017,1028,900,630
"ENSMUSG00000049339.17","Retreg2",826,639,727,268,4384,4662,2712,2170
"ENSMUSG00000026197.13","Zfand2b",234,152,229,99,411,591,370,278
"ENSMUSG00000033124.17","Atg9a",1811,1447,1585,601,591,1126,509,294
"ENSMUSG00000026199.19","Ankzf1",240,190,373,135,266,366,174,160
"ENSMUSG00000026200.14","Glb1l",64,42,88,26,46,61,54,28
"ENSMUSG00000026201.13","Stk16",816,605,598,203,1214,1746,1056,694
"ENSMUSG00000026202.14","Tuba4a",19456,16358,8977,5134,6479,7621,1013,722
"ENSMUSG00000096094.3","A630095N17Rik",4,4,4,0,3,3,2,8
"ENSMUSG00000026203.17","Dnajb2",4193,3521,3064,934,1930,2215,471,441
"ENSMUSG00000026204.16","Ptprn",222,201,185,97,7,6,0,1
"ENSMUSG00000026209.16","Dnpep",1755,1424,1682,670,1275,1490,662,472
"ENSMUSG00000026208.10","Des",61187,51609,62160,20624,117,149,53,36
"ENSMUSG00000026207.17","Speg",11480,9481,7976,2863,12,7,1,4
"ENSMUSG00000033021.17","Gmppa",745,609,812,286,835,972,393,271
"ENSMUSG00000033007.16","Asic4",14,9,9,4,0,0,0,0
"ENSMUSG00000032997.17","Chpf",931,776,728,226,45,55,13,9
"ENSMUSG00000026211.19","Obsl1",2984,2420,2660,1134,25,22,12,7
"ENSMUSG00000032968.5","Inha",120,113,89,53,0,0,1,0
"ENSMUSG00000026213.16","Stk11ip",310,255,499,185,148,141,106,71
"ENSMUSG00000006576.17","Slc4a3",8300,6845,6977,2787,9,7,1,2
"ENSMUSG00000026235.15","Epha4",1924,1356,1113,412,9,7,9,5
"ENSMUSG00000004872.16","Pax3",4,2,0,0,0,0,0,0
"ENSMUSG00000032908.10","Sgpp2",4,6,4,1,0,4,2,0
"ENSMUSG00000026245.17","Farsb",1150,967,971,406,900,1127,361,386
"ENSMUSG00000090486.3","BC035947",1,0,2,0,0,0,2,1
"ENSMUSG00000012187.14","Mogat1",1,0,0,2,20,19,7,23
"ENSMUSG00000032883.16","Acsl3",230,174,188,89,834,1132,285,263
"ENSMUSG00000054702.15","Ap1s3",2,3,1,2,15,34,18,5
"ENSMUSG00000073643.12","Wdfy1",169,157,159,74,148,150,82,50
"ENSMUSG00000026248.10","Mrpl44",1588,1288,1496,557,552,668,289,230
"ENSMUSG00000026249.11","Serpine2",909,635,905,275,1444,1636,312,271
"ENSMUSG00000043230.3","Fam124b",71,47,9,4,0,0,0,0
"ENSMUSG00000004364.15","Cul3",4137,3404,4128,1594,971,1754,949,706
"ENSMUSG00000038608.16","Dock10",196,153,276,104,77,98,78,41
"ENSMUSG00000055980.3","Irs1",1691,1751,995,307,443,462,151,117
"ENSMUSG00000026142.16","Rhbdd1",478,321,487,173,284,573,289,165
"ENSMUSG00000067158.10","Col4a4",312,274,539,184,11,5,9,12
"ENSMUSG00000079465.9","Col4a3",48,41,78,37,1,6,2,1
"ENSMUSG00000026150.15","Mff",3206,2536,2814,1080,418,735,473,387
"ENSMUSG00000026149.3","Tm4sf20",1,1,0,1,4,23,9,1
"ENSMUSG00000026159.14","Agfg1",1274,975,1017,359,329,597,257,186
"ENSMUSG00000113880.2","A030005L19Rik",1,1,0,2,1,1,2,0
"ENSMUSG00000038496.17","Slc19a3",15,18,10,0,0,1,0,1
"ENSMUSG00000026163.18","Sphkap",12,7,0,1,0,0,0,0
"ENSMUSG00000045658.17","Pid1",309,217,383,110,3151,5690,1178,791
"ENSMUSG00000036766.13","Dner",4,2,4,0,3,5,1,1
"ENSMUSG00000026219.15","Trip12",5970,4913,5734,1963,2018,3447,1870,1150
"ENSMUSG00000073633.10","Fbxo36",71,17,41,13,105,122,86,111
"ENSMUSG00000026220.7","Slc16a14",10,7,6,1,0,0,0,0
"ENSMUSG00000118590.2","Gm15433",0,1,6,3,1,3,4,0
"ENSMUSG00000052477.16","Sp140l2",15,24,42,11,10,19,23,7
"ENSMUSG00000070034.14","Sp110",205,163,284,82,62,51,39,15
"ENSMUSG00000070031.12","Sp140",26,28,51,6,22,24,17,18
"ENSMUSG00000026222.17","Sp100",875,752,1192,320,186,202,179,98
"ENSMUSG00000052760.17","A630001G21Rik",156,130,217,77,22,23,15,6
"ENSMUSG00000036707.17","Cab39",4847,4128,4464,1724,1066,1728,959,743
"ENSMUSG00000026223.16","Itm2c",1801,1391,1697,685,762,891,540,353
"ENSMUSG00000026226.17","Spata3",0,0,0,0,6,7,2,2
"ENSMUSG00000026227.12","2810459M11Rik",1,2,1,0,1726,1915,1186,942
"ENSMUSG00000026229.18","Psmd1",3514,2881,3492,1296,1895,3348,1364,875
"ENSMUSG00000094638.2","Gm21972",43,33,27,9,15,30,6,9
"ENSMUSG00000062590.14","Armc9",109,81,123,38,112,156,50,40
"ENSMUSG00000079445.4","B3gnt7",8,9,10,3,0,1,0,0
"ENSMUSG00000026234.13","Ncl",5507,4681,6877,2612,3518,4121,2746,2209
